Runs,Balls Faced,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Start Date
15,25,1,0,60,3,lbw,2,ODI , Sri Lanka,Adelaide,14-Feb-12
12,25,0,0,48,3,caught,2,ODI , Australia,Brisbane,19-Feb-12
66,83,2,0,79.51,4,caught,2,ODI , Sri Lanka,Brisbane,21-Feb-12
21,27,2,0,77.77,4,caught,2,ODI , Australia,Sydney,26-Feb-12
133,86,16,2,154.65,4,not out,2,ODI , Sri Lanka,Hobart,28-Feb-12
108,120,7,0,90,3,caught,1,ODI , Sri Lanka,Mirpur,13-Mar-12
66,82,5,0,80.48,3,bowled,1,ODI , Bangladesh,Mirpur,16-Mar-12
183,148,22,1,123.64,3,caught,2,ODI , Pakistan,Mirpur,18-Mar-12
106,113,9,0,93.8,3,caught,1,ODI , Sri Lanka,Hambantota,21-Jul-12
1,5,0,0,20,3,caught,1,ODI , Sri Lanka,Hambantota,24-Jul-12
38,65,2,0,58.46,3,caught,2,ODI , Sri Lanka,Colombo (RPS),28-Jul-12
128,119,12,1,107.56,3,not out,2,ODI , Sri Lanka,Colombo (RPS),31-Jul-12
23,35,2,0,65.71,3,lbw,1,ODI , Sri Lanka,Pallekele,04-Aug-12
68,48,11,1,141.66,3,caught,1,T20I , Sri Lanka,Pallekele,07-Aug-12
58,107,8,0,54.2,5,caught,1,Test , New Zealand,Hyderabad,23-Aug-12
103,193,14,1,53.36,5,lbw,2,Test , New Zealand,Bengaluru,31-Aug-12
51,82,9,0,62.19,5,not out,4,Test , New Zealand,Bengaluru,31-Aug-12
70,41,10,1,170.73,2,caught,2,T20I , New Zealand,Chennai,11-Sep-12
50,39,4,2,128.2,3,caught,1,T20I , Afghanistan,Colombo (RPS),19-Sep-12
40,32,6,0,125,3,caught,1,T20I , England,Colombo (RPS),23-Sep-12
15,13,2,0,115.38,3,caught,1,T20I , Australia,Colombo (RPS),28-Sep-12
78,61,8,2,127.86,3,not out,2,T20I , Pakistan,Colombo (RPS),30-Sep-12
2,6,0,0,33.33,3,caught,1,T20I , South Africa,Colombo (RPS),02-Oct-12
19,67,3,0,28.35,5,bowled,1,Test , England,Ahmedabad,15-Nov-12
14,21,3,0,66.66,3,not out,4,Test , England,Ahmedabad,15-Nov-12
19,55,3,0,34.54,5,caught,1,Test , England,Wankhede,23-Nov-12
7,13,1,0,53.84,5,caught,3,Test , England,Wankhede,23-Nov-12
6,24,1,0,25,5,caught,1,Test , England,Eden Gardens,05-Dec-12
20,60,3,0,33.33,5,caught,3,Test , England,Eden Gardens,05-Dec-12
103,295,11,0,34.91,5,lbw,2,Test , England,Nagpur,13-Dec-12
21,17,2,0,123.52,3,bowled,2,T20I , England,Pune,20-Dec-12
38,20,7,0,190,3,lbw,1,T20I , England,Wankhede,22-Dec-12
9,11,1,0,81.81,3,caught,1,T20I , Pakistan,Bengaluru,25-Dec-12
27,22,3,0,122.72,3,run out,1,T20I , Pakistan,Ahmedabad,28-Dec-12
0,5,0,0,0,3,bowled,1,ODI , Pakistan,Chennai,30-Dec-12
6,9,1,0,66.66,3,caught,2,ODI , Pakistan,Eden Gardens,03-Jan-13
7,17,1,0,41.17,3,caught,1,ODI , Pakistan,Delhi,06-Jan-13
15,22,1,0,68.18,3,caught,2,ODI , England,Rajkot,11-Jan-13
37,54,1,1,68.51,3,caught,1,ODI , England,Kochi,15-Jan-13
77,79,9,2,97.46,3,not out,2,ODI , England,Ranchi,19-Jan-13
26,33,3,0,78.78,3,caught,2,ODI , England,Mohali,23-Jan-13
0,1,0,0,0,3,caught,1,ODI , England,Dharamsala,27-Jan-13
107,206,15,1,51.94,5,caught,2,Test , Australia,Chennai,22-Feb-13
34,92,3,0,36.95,5,caught,2,Test , Australia,Hyderabad,02-Mar-13
67,129,7,1,51.93,5,not out,2,Test , Australia,Mohali,14-Mar-13
34,61,6,0,55.73,3,caught,4,Test , Australia,Mohali,14-Mar-13
1,8,0,0,12.5,3,lbw,2,Test , Australia,Delhi,22-Mar-13
41,60,4,0,68.33,3,lbw,4,Test , Australia,Delhi,22-Mar-13
31,41,2,0,75.6,3,caught,1,ODI , South Africa,Cardiff,06-Jun-13
22,18,4,0,122.22,3,bowled,2,ODI , West Indies,The Oval,11-Jun-13
22,27,3,0,81.48,3,not out,2,ODI , Pakistan,Birmingham,15-Jun-13
58,64,4,1,90.62,3,not out,2,ODI , Sri Lanka,Cardiff,20-Jun-13
43,34,4,1,126.47,3,caught,1,ODI , England,Birmingham,23-Jun-13
11,21,0,1,52.38,3,caught,1,ODI , West Indies,Kingston,30-Jun-13
2,5,0,0,40,4,caught,2,ODI , Sri Lanka,Kingston,02-Jul-13
102,83,13,2,122.89,3,caught,1,ODI , West Indies,Port of Spain,05-Jul-13
31,52,4,0,59.61,3,lbw,1,ODI , Sri Lanka,Port of Spain,09-Jul-13
2,5,0,0,40,3,caught,2,ODI , Sri Lanka,Port of Spain,11-Jul-13
115,108,13,1,106.48,3,caught,2,ODI , Zimbabwe,Harare,24-Jul-13
14,18,2,0,77.77,3,caught,1,ODI , Zimbabwe,Harare,26-Jul-13
68,88,5,1,77.27,3,not out,2,ODI , Zimbabwe,Harare,28-Jul-13
29,22,2,1,131.81,4,caught,2,T20I , Australia,Rajkot,10-Oct-13
61,85,6,0,71.76,3,lbw,2,ODI , Australia,Pune,13-Oct-13
100,52,8,7,192.3,3,not out,2,ODI , Australia,Jaipur,16-Oct-13
68,73,9,0,93.15,3,caught,1,ODI , Australia,Mohali,19-Oct-13
115,66,18,1,174.24,3,not out,2,ODI , Australia,Nagpur,30-Oct-13
0,3,0,0,0,3,run out,1,ODI , Australia,Bengaluru,02-Nov-13
3,5,0,0,60,5,caught,2,Test , West Indies,Eden Gardens,06-Nov-13
57,78,5,0,73.07,5,caught,2,Test , West Indies,Wankhede,14-Nov-13
86,84,9,2,102.38,3,caught,2,ODI , West Indies,Kochi,21-Nov-13
99,100,9,0,99,3,caught,1,ODI , West Indies,Visakhapatnam,24-Nov-13
19,18,3,0,105.55,3,caught,2,ODI , West Indies,Kanpur,27-Nov-13
31,35,5,0,88.57,3,caught,2,ODI , South Africa,Johannesburg,05-Dec-13
0,5,0,0,0,3,caught,2,ODI , South Africa,Durban,08-Dec-13
119,181,18,0,65.74,4,caught,1,Test , South Africa,Johannesburg,18-Dec-13
96,193,9,0,49.74,4,caught,3,Test , South Africa,Johannesburg,18-Dec-13
46,87,5,0,52.87,4,caught,1,Test , South Africa,Durban,26-Dec-13
11,27,1,0,40.74,4,caught,3,Test , South Africa,Durban,26-Dec-13
123,111,11,2,110.81,3,caught,2,ODI , New Zealand,Napier,19-Jan-14
78,65,7,2,120,3,caught,2,ODI , New Zealand,Hamilton,22-Jan-14
6,20,1,0,30,3,caught,2,ODI , New Zealand,Auckland,25-Jan-14
2,10,0,0,20,2,caught,1,ODI , New Zealand,Hamilton,28-Jan-14
82,78,7,3,105.12,3,caught,2,ODI , New Zealand,Wellington,31-Jan-14
4,13,1,0,30.76,4,caught,2,Test , New Zealand,Auckland,06-Feb-14
67,102,12,0,65.68,4,caught,4,Test , New Zealand,Auckland,06-Feb-14
38,93,4,0,40.86,5,caught,2,Test , New Zealand,Wellington,14-Feb-14
105,135,15,1,77.77,4,not out,4,Test , New Zealand,Wellington,14-Feb-14
