Runs,Balls Faced,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Start Date
131,96,17,2,136.45,3,caught,1,ODI , Sri Lanka,Colombo (RPS),31-Aug-17
110,116,9,0,94.82,3,not out,2,ODI , Sri Lanka,Colombo (RPS),03-Sep-17
82,54,7,1,151.85,3,caught,2,T20I , Sri Lanka,Colombo (RPS),06-Sep-17
0,4,0,0,0,3,caught,1,ODI , Australia,Chennai,17-Sep-17
92,107,8,0,85.98,3,bowled,1,ODI , Australia,Eden Gardens,21-Sep-17
28,35,2,0,80,3,caught,2,ODI , Australia,Indore,24-Sep-17
21,21,3,0,100,3,bowled,2,ODI , Australia,Bengaluru,28-Sep-17
39,55,2,0,70.9,3,caught,2,ODI , Australia,Nagpur,01-Oct-17
22,14,3,0,157.14,3,not out,2,T20I , Australia,Ranchi,07-Oct-17
0,2,0,0,0,3,caught,1,T20I , Australia,Guwahati,10-Oct-17
121,125,9,2,96.8,3,caught,1,ODI , New Zealand,Wankhede,22-Oct-17
29,29,3,1,100,3,caught,2,ODI , New Zealand,Pune,25-Oct-17
113,106,9,1,106.6,3,caught,1,ODI , New Zealand,Kanpur,29-Oct-17
26,11,0,3,236.36,4,not out,1,T20I , New Zealand,Delhi,01-Nov-17
65,42,8,1,154.76,4,caught,2,T20I , New Zealand,Rajkot,04-Nov-17
13,6,1,1,216.66,3,caught,1,T20I , New Zealand,Thiruvananthapuram,07-Nov-17
0,11,0,0,0,4,lbw,1,Test , Sri Lanka,Eden Gardens,16-Nov-17
104,119,12,2,87.39,4,not out,3,Test , Sri Lanka,Eden Gardens,16-Nov-17
213,267,17,2,79.77,4,caught,2,Test , Sri Lanka,Nagpur,24-Nov-17
243,287,25,0,84.66,4,lbw,1,Test , Sri Lanka,Delhi,02-Dec-17
50,58,3,0,86.2,5,caught,3,Test , Sri Lanka,Delhi,02-Dec-17
5,13,0,0,38.46,4,caught,2,Test , South Africa,Cape Town,05-Jan-18
28,40,4,0,70,4,lbw,4,Test , South Africa,Cape Town,05-Jan-18
153,217,15,0,70.5,4,caught,2,Test , South Africa,Centurion,13-Jan-18
5,20,1,0,25,4,lbw,4,Test , South Africa,Centurion,13-Jan-18
54,106,9,0,50.94,4,caught,1,Test , South Africa,Johannesburg,24-Jan-18
41,79,6,0,51.89,5,bowled,3,Test , South Africa,Johannesburg,24-Jan-18
112,119,10,0,94.11,3,caught,2,ODI , South Africa,Durban,01-Feb-18
46,50,4,1,92,3,not out,2,ODI , South Africa,Centurion,04-Feb-18
160,159,12,2,100.62,3,not out,1,ODI , South Africa,Cape Town,07-Feb-18
75,83,7,1,90.36,3,caught,1,ODI , South Africa,Johannesburg,10-Feb-18
36,54,2,0,66.66,3,run out,1,ODI , South Africa,Gqeberha,13-Feb-18
129,96,19,2,134.37,3,not out,2,ODI , South Africa,Centurion,16-Feb-18
26,20,2,1,130,4,lbw,1,T20I , South Africa,Johannesburg,18-Feb-18
1,5,0,0,20,4,caught,1,T20I , South Africa,Centurion,21-Feb-18
0,2,0,0,0,6,caught,1,T20I , Ireland,Dublin (Malahide),27-Jun-18
9,8,1,0,112.5,2,caught,1,T20I , Ireland,Dublin (Malahide),29-Jun-18
20,22,0,1,90.9,4,not out,2,T20I , England,Manchester,03-Jul-18
47,38,1,2,123.68,4,caught,1,T20I , England,Cardiff,06-Jul-18
43,29,2,2,148.27,4,caught,2,T20I , England,Bristol,08-Jul-18
75,82,7,0,91.46,3,stumped,2,ODI , England,Nottingham,12-Jul-18
45,56,2,0,80.35,3,lbw,2,ODI , England,Lord's,14-Jul-18
71,72,8,0,98.61,3,bowled,1,ODI , England,Leeds,17-Jul-18
149,225,22,1,66.22,4,caught,2,Test , England,Birmingham,01-Aug-18
51,93,4,0,54.83,4,lbw,4,Test , England,Birmingham,01-Aug-18
23,57,2,0,40.35,4,caught,1,Test , England,Lord's,09-Aug-18
17,29,2,0,58.62,5,caught,3,Test , England,Lord's,09-Aug-18
97,152,11,0,63.81,4,caught,1,Test , England,Nottingham,18-Aug-18
103,197,10,0,52.28,4,lbw,3,Test , England,Nottingham,18-Aug-18
46,71,6,0,64.78,4,caught,2,Test , England,Southampton,30-Aug-18
58,130,4,0,44.61,4,caught,4,Test , England,Southampton,30-Aug-18
49,70,6,0,70,4,caught,2,Test , England,The Oval,07-Sep-18
0,1,0,0,0,4,caught,4,Test , England,The Oval,07-Sep-18
139,230,10,0,60.43,4,caught,1,Test , West Indies,Rajkot,04-Oct-18
45,78,5,0,57.69,4,lbw,2,Test , West Indies,Hyderabad,12-Oct-18
140,107,21,2,130.84,3,stumped,2,ODI , West Indies,Guwahati,21-Oct-18
157,129,13,4,121.7,3,not out,1,ODI , West Indies,Visakhapatnam,24-Oct-18
107,119,10,1,89.91,3,bowled,2,ODI , West Indies,Pune,27-Oct-18
16,17,2,0,94.11,3,caught,1,ODI , West Indies,Brabourne,29-Oct-18
33,29,6,0,113.79,3,not out,2,ODI , West Indies,Thiruvananthapuram,01-Nov-18
4,8,0,0,50,4,caught,2,T20I , Australia,Brisbane,21-Nov-18
61,41,4,2,148.78,3,not out,2,T20I , Australia,Sydney,25-Nov-18
3,16,0,0,18.75,4,caught,1,Test , Australia,Adelaide,06-Dec-18
34,104,3,0,32.69,4,caught,3,Test , Australia,Adelaide,06-Dec-18
123,257,13,1,47.85,4,caught,2,Test , Australia,Perth,14-Dec-18
17,40,2,0,42.5,4,caught,4,Test , Australia,Perth,14-Dec-18
82,204,9,0,40.19,4,caught,1,Test , Australia,Melbourne,26-Dec-18
0,4,0,0,0,4,caught,3,Test , Australia,Melbourne,26-Dec-18
23,59,4,0,38.98,4,caught,1,Test , Australia,Sydney,03-Jan-19
3,8,0,0,37.5,3,caught,2,ODI , Australia,Sydney,12-Jan-19
104,112,5,2,92.85,3,caught,2,ODI , Australia,Adelaide,15-Jan-19
46,62,3,0,74.19,3,caught,2,ODI , Australia,Melbourne,18-Jan-19
45,59,3,0,76.27,3,caught,2,ODI , New Zealand,Napier,23-Jan-19
43,45,5,0,95.55,3,caught,1,ODI , New Zealand,Mount Maunganui,26-Jan-19
60,74,6,1,81.08,3,caught,2,ODI , New Zealand,Mount Maunganui,28-Jan-19
24,17,3,0,141.17,3,caught,1,T20I , Australia,Visakhapatnam,24-Feb-19
72,38,2,6,189.47,3,not out,1,T20I , Australia,Bengaluru,27-Feb-19
44,45,6,1,97.77,3,lbw,2,ODI , Australia,Hyderabad,02-Mar-19
116,120,10,0,96.66,3,caught,1,ODI , Australia,Nagpur,05-Mar-19
123,95,16,1,129.47,3,bowled,2,ODI , Australia,Ranchi,08-Mar-19
7,6,1,0,116.66,4,caught,1,ODI , Australia,Mohali,10-Mar-19
20,22,2,0,90.9,3,caught,2,ODI , Australia,Delhi,13-Mar-19
18,34,1,0,52.94,3,caught,2,ODI , South Africa,Southampton,05-Jun-19
82,77,4,2,106.49,3,caught,1,ODI , Australia,The Oval,09-Jun-19
77,65,7,0,118.46,3,caught,1,ODI , Pakistan,Manchester,16-Jun-19
67,63,5,0,106.34,3,caught,1,ODI , Afghanistan,Southampton,22-Jun-19
72,82,8,0,87.8,3,caught,1,ODI , West Indies,Manchester,27-Jun-19
66,76,7,0,86.84,3,caught,2,ODI , England,Birmingham,30-Jun-19
26,27,3,0,96.29,3,caught,1,ODI , Bangladesh,Birmingham,02-Jul-19
34,41,3,0,82.92,3,not out,2,ODI , Sri Lanka,Leeds,06-Jul-19
1,6,0,0,16.66,3,lbw,2,ODI , New Zealand,Manchester,09-Jul-19
19,29,1,0,65.51,3,caught,2,T20I , West Indies,Lauderhill,03-Aug-19
28,23,1,1,121.73,3,bowled,1,T20I , West Indies,Lauderhill,04-Aug-19
59,45,6,0,131.11,3,caught,2,T20I , West Indies,Providence,06-Aug-19
120,125,14,1,96,3,caught,1,ODI , West Indies,Port of Spain,11-Aug-19
114,99,14,0,115.15,3,not out,2,ODI , West Indies,Port of Spain,14-Aug-19
9,12,2,0,75,4,caught,1,Test , West Indies,North Sound,22-Aug-19
51,113,2,0,45.13,4,caught,3,Test , West Indies,North Sound,22-Aug-19
76,163,10,0,46.62,4,caught,1,Test , West Indies,Kingston,30-Aug-19
0,1,0,0,0,4,caught,3,Test , West Indies,Kingston,30-Aug-19
72,52,4,3,138.46,3,not out,2,T20I , South Africa,Mohali,18-Sep-19
9,15,0,0,60,3,caught,1,T20I , South Africa,Bengaluru,22-Sep-19
20,40,4,0,50,4,caught,1,Test , South Africa,Visakhapatnam,02-Oct-19
31,25,3,1,124,5,not out,3,Test , South Africa,Visakhapatnam,02-Oct-19
254,336,33,2,75.59,4,not out,1,Test , South Africa,Pune,10-Oct-19
12,22,2,0,54.54,4,lbw,1,Test , South Africa,Ranchi,19-Oct-19
0,2,0,0,0,4,lbw,2,Test , Bangladesh,Indore,14-Nov-19
136,194,18,0,70.1,4,caught,2,Test , Bangladesh,Eden Gardens,22-Nov-19
94,50,6,6,188,3,not out,2,T20I , West Indies,Hyderabad,06-Dec-19
19,17,2,0,111.76,4,caught,1,T20I , West Indies,Thiruvananthapuram,08-Dec-19
70,29,4,7,241.37,4,not out,1,T20I , West Indies,Wankhede,11-Dec-19
4,4,1,0,100,3,bowled,1,ODI , West Indies,Chennai,15-Dec-19
0,1,0,0,0,3,caught,1,ODI , West Indies,Visakhapatnam,18-Dec-19
85,81,9,0,104.93,3,bowled,2,ODI , West Indies,Cuttack,22-Dec-19
30,17,1,2,176.47,4,not out,2,T20I , Sri Lanka,Indore,07-Jan-20
26,17,2,1,152.94,6,run out,1,T20I , Sri Lanka,Pune,10-Jan-20
16,14,0,1,114.28,4,caught,1,ODI , Australia,Wankhede,14-Jan-20
78,76,6,0,102.63,3,caught,1,ODI , Australia,Rajkot,17-Jan-20
89,91,8,0,97.8,3,bowled,2,ODI , Australia,Bengaluru,19-Jan-20
45,32,3,1,140.62,3,caught,2,T20I , New Zealand,Auckland,24-Jan-20
11,12,1,0,91.66,3,caught,2,T20I , New Zealand,Auckland,26-Jan-20
38,27,2,1,140.74,4,caught,1,T20I , New Zealand,Hamilton,29-Jan-20
11,9,2,0,122.22,3,caught,1,T20I , New Zealand,Wellington,31-Jan-20
51,63,6,0,80.95,3,bowled,1,ODI , New Zealand,Hamilton,05-Feb-20
15,25,1,0,60,3,bowled,2,ODI , New Zealand,Auckland,08-Feb-20
9,12,0,1,75,3,caught,1,ODI , New Zealand,Mount Maunganui,11-Feb-20
2,7,0,0,28.57,4,caught,1,Test , New Zealand,Wellington,21-Feb-20
19,43,3,0,44.18,4,caught,3,Test , New Zealand,Wellington,21-Feb-20
3,15,0,0,20,4,lbw,1,Test , New Zealand,Christchurch,29-Feb-20
14,30,3,0,46.66,4,lbw,3,Test , New Zealand,Christchurch,29-Feb-20
21,21,2,1,100,3,caught,2,ODI , Australia,Sydney,27-Nov-20
89,87,7,2,102.29,3,caught,2,ODI , Australia,Sydney,29-Nov-20
63,78,5,0,80.76,3,caught,1,ODI , Australia,Canberra,02-Dec-20
9,9,1,0,100,3,caught,1,T20I , Australia,Canberra,04-Dec-20
40,24,2,2,166.66,3,caught,2,T20I , Australia,Sydney,06-Dec-20
85,61,4,3,139.34,3,caught,2,T20I , Australia,Sydney,08-Dec-20
74,180,8,0,41.11,4,run out,1,Test , Australia,Adelaide,17-Dec-20
4,8,1,0,50,5,caught,3,Test , Australia,Adelaide,17-Dec-20
11,48,0,0,22.91,4,caught,2,Test , England,Chennai,05-Feb-21
72,104,9,0,69.23,4,bowled,4,Test , England,Chennai,05-Feb-21
0,5,0,0,0,4,bowled,1,Test , England,Chennai,13-Feb-21
62,149,7,0,41.61,4,lbw,3,Test , England,Chennai,13-Feb-21
27,58,3,0,46.55,4,bowled,2,Test , England,Ahmedabad,24-Feb-21
0,8,0,0,0,4,caught,2,Test , England,Ahmedabad,04-Mar-21
0,5,0,0,0,3,caught,1,T20I , England,Ahmedabad,12-Mar-21
73,49,5,3,148.97,3,not out,2,T20I , England,Ahmedabad,14-Mar-21
77,46,8,4,167.39,4,not out,1,T20I , England,Ahmedabad,16-Mar-21
1,5,0,0,20,4,stumped,1,T20I , England,Ahmedabad,18-Mar-21
80,52,7,2,153.84,2,not out,1,T20I , England,Ahmedabad,20-Mar-21
56,60,6,0,93.33,3,caught,1,ODI , England,Pune,23-Mar-21
66,79,3,1,83.54,3,caught,1,ODI , England,Pune,26-Mar-21
7,10,1,0,70,3,bowled,1,ODI , England,Pune,28-Mar-21
44,132,1,0,33.33,4,lbw,1,Test , New Zealand,Southampton,18-Jun-21
13,29,0,0,44.82,4,caught,3,Test , New Zealand,Southampton,18-Jun-21
0,1,0,0,0,4,caught,2,Test , England,Nottingham,04-Aug-21
42,103,3,0,40.77,4,caught,1,Test , England,Lord's,12-Aug-21
20,31,4,0,64.51,4,caught,3,Test , England,Lord's,12-Aug-21
7,17,1,0,41.17,4,caught,1,Test , England,Leeds,25-Aug-21
55,125,8,0,44,4,caught,3,Test , England,Leeds,25-Aug-21
50,96,8,0,52.08,4,caught,1,Test , England,The Oval,02-Sep-21
44,96,7,0,45.83,4,caught,3,Test , England,The Oval,02-Sep-21
57,49,5,1,116.32,3,caught,1,T20I , Pakistan,Dubai (DICS),24-Oct-21
9,17,0,0,52.94,4,caught,1,T20I , New Zealand,Dubai (DICS),31-Oct-21
2,2,0,0,100,3,not out,2,T20I , Scotland,Dubai (DICS),05-Nov-21
0,4,0,0,0,4,lbw,1,Test , New Zealand,Wankhede,03-Dec-21
36,84,1,1,42.85,4,bowled,3,Test , New Zealand,Wankhede,03-Dec-21
35,94,4,0,37.23,4,caught,1,Test , South Africa,Centurion,26-Dec-21
18,32,4,0,56.25,5,caught,3,Test , South Africa,Centurion,26-Dec-21
79,201,12,1,39.3,4,caught,1,Test , South Africa,Cape Town,11-Jan-22
29,143,4,0,20.27,4,caught,3,Test , South Africa,Cape Town,11-Jan-22
51,63,3,0,80.95,3,caught,2,ODI , South Africa,Paarl,19-Jan-22
0,5,0,0,0,3,caught,1,ODI , South Africa,Paarl,21-Jan-22
65,84,5,0,77.38,3,caught,2,ODI , South Africa,Cape Town,23-Jan-22
8,4,2,0,200,3,caught,2,ODI , West Indies,Ahmedabad,06-Feb-22
18,30,3,0,60,3,caught,1,ODI , West Indies,Ahmedabad,09-Feb-22
0,2,0,0,0,3,caught,1,ODI , West Indies,Ahmedabad,11-Feb-22
17,13,1,0,130.76,3,caught,2,T20I , West Indies,Eden Gardens,16-Feb-22
52,41,7,1,126.82,3,bowled,1,T20I , West Indies,Eden Gardens,18-Feb-22
45,76,5,0,59.21,4,bowled,1,Test , Sri Lanka,Mohali,04-Mar-22
23,48,2,0,47.91,4,lbw,1,Test , Sri Lanka,Bengaluru,12-Mar-22
13,16,1,0,81.25,4,lbw,3,Test , Sri Lanka,Bengaluru,12-Mar-22
11,19,2,0,57.89,4,bowled,1,Test , England,Birmingham,01-Jul-22
20,40,4,0,50,4,caught,3,Test , England,Birmingham,01-Jul-22
1,3,0,0,33.33,3,caught,1,T20I , England,Birmingham,09-Jul-22
11,6,1,1,183.33,3,caught,2,T20I , England,Nottingham,10-Jul-22
16,25,3,0,64,3,caught,2,ODI , England,Lord's,14-Jul-22
17,22,3,0,77.27,3,caught,2,ODI , England,Manchester,17-Jul-22
35,34,3,1,102.94,3,caught,2,T20I , Pakistan,Dubai (DICS),28-Aug-22
59,44,1,3,134.09,3,not out,1,T20I , Hong Kong,Dubai (DICS),31-Aug-22
60,44,4,1,136.36,3,run out,1,T20I , Pakistan,Dubai (DICS),04-Sep-22
0,4,0,0,0,3,bowled,1,T20I , Sri Lanka,Dubai (DICS),06-Sep-22
122,61,12,6,200,2,not out,1,T20I , Afghanistan,Dubai (DICS),08-Sep-22
2,7,0,0,28.57,3,caught,1,T20I , Australia,Mohali,20-Sep-22
11,6,2,0,183.33,3,bowled,2,T20I , Australia,Nagpur,23-Sep-22
63,48,3,4,131.25,3,caught,2,T20I , Australia,Hyderabad,25-Sep-22
3,9,0,0,33.33,3,caught,2,T20I , South Africa,Thiruvananthapuram,28-Sep-22
49,28,7,1,175,3,not out,1,T20I , South Africa,Guwahati,02-Oct-22
82,53,6,4,154.71,3,not out,2,T20I , Pakistan,Melbourne,23-Oct-22
62,44,3,2,140.9,3,not out,1,T20I , Netherlands,Sydney,27-Oct-22
12,11,2,0,109.09,3,caught,1,T20I , South Africa,Perth,30-Oct-22
64,44,8,1,145.45,3,not out,1,T20I , Bangladesh,Adelaide,02-Nov-22
26,25,2,0,104,3,caught,1,T20I , Zimbabwe,Melbourne,06-Nov-22
50,40,4,1,125,3,caught,1,T20I , England,Adelaide,10-Nov-22
9,15,1,0,60,3,caught,1,ODI , Bangladesh,Mirpur,04-Dec-22
5,6,1,0,83.33,1,bowled,2,ODI , Bangladesh,Mirpur,07-Dec-22
113,91,11,2,124.17,3,caught,1,ODI , Bangladesh,Chattogram,10-Dec-22
1,5,0,0,20,4,lbw,1,Test , Bangladesh,Chattogram,14-Dec-22
19,29,0,0,65.51,4,not out,3,Test , Bangladesh,Chattogram,14-Dec-22
24,73,3,0,32.87,4,caught,2,Test , Bangladesh,Mirpur,22-Dec-22
1,22,0,0,4.54,5,caught,4,Test , Bangladesh,Mirpur,22-Dec-22
113,87,12,1,129.88,3,caught,1,ODI , Sri Lanka,Guwahati,10-Jan-23
4,9,1,0,44.44,3,bowled,2,ODI , Sri Lanka,Eden Gardens,12-Jan-23
166,110,13,8,150.9,3,not out,1,ODI , Sri Lanka,Thiruvananthapuram,15-Jan-23
8,10,1,0,80,3,bowled,1,ODI , New Zealand,Hyderabad,18-Jan-23
11,9,2,0,122.22,3,stumped,2,ODI , New Zealand,Raipur,21-Jan-23
36,27,3,1,133.33,3,caught,1,ODI , New Zealand,Indore,24-Jan-23
12,26,2,0,46.15,5,caught,2,Test , Australia,Nagpur,09-Feb-23
44,84,4,0,52.38,4,lbw,2,Test , Australia,Delhi,17-Feb-23
20,31,3,0,64.51,4,stumped,4,Test , Australia,Delhi,17-Feb-23
22,52,2,0,42.3,4,lbw,1,Test , Australia,Indore,01-Mar-23
13,26,2,0,50,4,lbw,3,Test , Australia,Indore,01-Mar-23
186,364,15,0,51.09,4,caught,2,Test , Australia,Ahmedabad,09-Mar-23
4,9,1,0,44.44,3,lbw,2,ODI , Australia,Wankhede,17-Mar-23
31,35,4,0,88.57,3,lbw,1,ODI , Australia,Visakhapatnam,19-Mar-23
54,72,2,1,75,3,caught,2,ODI , Australia,Chennai,22-Mar-23
14,31,2,0,45.16,4,caught,2,Test , Australia,The Oval,07-Jun-23
49,78,7,0,62.82,4,caught,4,Test , Australia,The Oval,07-Jun-23
76,182,5,0,41.75,4,caught,2,Test , West Indies,Roseau,12-Jul-23
121,206,11,0,58.73,4,run out,1,Test , West Indies,Port of Spain,20-Jul-23
4,7,1,0,57.14,3,bowled,1,ODI , Pakistan,Pallekele,02-Sep-23
122,94,9,3,129.78,3,not out,1,ODI , Pakistan,Colombo (RPS),10-Sep-23
3,12,0,0,25,3,caught,1,ODI , Sri Lanka,Colombo (RPS),12-Sep-23
56,61,5,1,91.8,3,caught,2,ODI , Australia,Rajkot,27-Sep-23
85,116,6,0,73.27,3,caught,2,ODI , Australia,Chennai,08-Oct-23
55,56,6,0,98.21,3,not out,2,ODI , Afghanistan,Delhi,11-Oct-23
16,18,3,0,88.88,3,caught,2,ODI , Pakistan,Ahmedabad,14-Oct-23
103,97,6,4,106.18,3,not out,2,ODI , Bangladesh,Pune,19-Oct-23
95,104,8,2,91.34,3,caught,2,ODI , New Zealand,Dharamsala,22-Oct-23
0,9,0,0,0,3,caught,1,ODI , England,Lucknow,29-Oct-23
88,94,11,0,93.61,3,caught,1,ODI , Sri Lanka,Wankhede,02-Nov-23
101,121,10,0,83.47,3,not out,1,ODI , South Africa,Eden Gardens,05-Nov-23
51,56,5,1,91.07,3,bowled,1,ODI , Netherlands,Bengaluru,12-Nov-23
117,113,9,2,103.53,3,caught,1,ODI , New Zealand,Wankhede,15-Nov-23
54,63,4,0,85.71,3,bowled,1,ODI , Australia,Ahmedabad,19-Nov-23
38,64,5,0,59.37,4,caught,1,Test , South Africa,Centurion,26-Dec-23
76,82,12,1,92.68,4,caught,3,Test , South Africa,Centurion,26-Dec-23
46,59,6,1,77.96,4,caught,2,Test , South Africa,Cape Town,03-Jan-24
12,11,2,0,109.09,4,caught,4,Test , South Africa,Cape Town,03-Jan-24
29,16,5,0,181.25,3,caught,2,T20I , Afghanistan,Indore,14-Jan-24
0,1,0,0,0,3,caught,1,T20I , Afghanistan,Bengaluru,17-Jan-24
1,5,0,0,20,2,caught,2,T20I , Ireland,New York,05-Jun-24
4,3,1,0,133.33,2,caught,1,T20I , Pakistan,New York,09-Jun-24
0,1,0,0,0,2,caught,2,T20I , U.S.A.,New York,12-Jun-24
24,24,0,1,100,2,caught,1,T20I , Afghanistan,Bridgetown,20-Jun-24
37,28,1,3,132.14,2,bowled,1,T20I , Bangladesh,North Sound,22-Jun-24
0,5,0,0,0,2,caught,1,T20I , Australia,Gros Islet,24-Jun-24
9,9,0,1,100,2,bowled,1,T20I , England,Providence,27-Jun-24
76,59,6,2,128.81,2,caught,1,T20I , South Africa,Bridgetown,29-Jun-24
24,32,2,0,75,3,lbw,2,ODI , Sri Lanka,Colombo (RPS),02-Aug-24
14,19,2,0,73.68,3,lbw,2,ODI , Sri Lanka,Colombo (RPS),04-Aug-24
20,18,4,0,111.11,3,lbw,2,ODI , Sri Lanka,Colombo (RPS),07-Aug-24
6,6,0,0,100,4,caught,1,Test , Bangladesh,Chennai,19-Sep-24
17,37,2,0,45.94,4,lbw,3,Test , Bangladesh,Chennai,19-Sep-24
47,35,4,1,134.28,5,bowled,2,Test , Bangladesh,Kanpur,27-Sep-24
29,37,4,0,78.37,4,not out,4,Test , Bangladesh,Kanpur,27-Sep-24
0,9,0,0,0,3,caught,1,Test , New Zealand,Bengaluru,16-Oct-24
70,102,8,1,68.62,3,caught,3,Test , New Zealand,Bengaluru,16-Oct-24
1,9,0,0,11.11,4,bowled,2,Test , New Zealand,Pune,24-Oct-24
17,40,2,0,42.5,4,lbw,4,Test , New Zealand,Pune,24-Oct-24
4,6,1,0,66.66,5,run out,2,Test , New Zealand,Wankhede,01-Nov-24
1,7,0,0,14.28,4,caught,4,Test , New Zealand,Wankhede,01-Nov-24
5,12,0,0,41.66,4,caught,1,Test , Australia,Perth,22-Nov-24
100,143,8,2,69.93,4,not out,3,Test , Australia,Perth,22-Nov-24
7,8,1,0,87.5,4,caught,1,Test , Australia,Adelaide,06-Dec-24
11,21,1,0,52.38,4,caught,3,Test , Australia,Adelaide,06-Dec-24
3,16,0,0,18.75,4,caught,2,Test , Australia,Brisbane,14-Dec-24
36,86,4,0,41.86,4,caught,2,Test , Australia,Melbourne,26-Dec-24
5,29,0,0,17.24,4,caught,4,Test , Australia,Melbourne,26-Dec-24
17,69,0,0,24.63,4,caught,1,Test , Australia,Sydney,03-Jan-25
6,12,1,0,50,4,caught,3,Test , Australia,Sydney,03-Jan-25
5,8,1,0,62.5,3,caught,2,ODI , England,Cuttack,09-Feb-25
52,55,7,1,94.54,3,caught,1,ODI , England,Ahmedabad,12-Feb-25
22,38,1,0,57.89,3,caught,2,ODI , Bangladesh,Dubai (DICS),20-Feb-25
100,111,7,0,90.09,3,not out,2,ODI , Pakistan,Dubai (DICS),23-Feb-25
11,14,2,0,78.57,3,caught,1,ODI , New Zealand,Dubai (DICS),02-Mar-25
84,98,5,0,85.71,3,caught,2,ODI , Australia,Dubai (DICS),04-Mar-25
1,2,0,0,50,3,lbw,2,ODI , New Zealand,Dubai (DICS),09-Mar-25
